Run, KeyGeneration, Encryption, Decryption, Total, BitLength, Method
0,82561239,210834,93229,598399204,128,AES
1,29508,36351,25232,10388151,128,AES
2,17533,23521,21810,5449599,128,AES
3,16251,27797,23521,6087661,128,AES
4,5987,26087,24804,4655873,128,AES
5,15824,23521,15823,2379470,128,AES
6,17534,25659,23093,4927006,128,AES
7,17534,24804,26087,2238343,128,AES
8,13258,25232,23094,2183176,128,AES
9,4704,26515,24804,2354665,128,AES
Aggregate,8269937.2,45032.1,30149.7,63906314.8,,
,,,,,,
,,,,,,
0,647041,54312,27797,277292794,56,DES
1,7698,39772,24376,1445044,56,DES
2,20955,36350,33357,3111613,56,DES
3,8981,28225,26514,1991159,56,DES
4,10264,27370,26514,2015535,56,DES
5,21383,27798,30364,1946683,56,DES
6,10263,29080,27370,2001851,56,DES
7,20955,28225,26086,2275121,56,DES
8,9408,27369,28225,1994581,56,DES
9,8981,28225,34640,2757088,56,DES
Aggregate,76592.9,32672.6,28524.3,29683146.9,,
,,,,,,
,,,,,,
0,579472,88952,445616,6006834,112,DESede
1,26515,56450,54740,2238343,112,DESede
2,26942,53884,48325,2160510,112,DESede
3,29508,52174,47897,2337559,112,DESede
4,16251,50463,47897,2034352,112,DESede
5,26942,50035,48752,2251600,112,DESede
6,22238,54740,51746,2246468,112,DESede
7,20527,52174,40628,1507909,112,DESede
8,28653,51746,38916,1604987,112,DESede
9,11547,39771,38489,1225229,112,DESede
Aggregate,78859.5,55038.9,86300.6,,,
Run, KeyGeneration, Encryption, Decryption, Total, BitLength, Method
0,80702226,213828,92373,666994107,128,AES
1,30791,27370,26514,13025496,128,AES
2,18389,29508,26515,5988017,128,AES
3,19245,29936,23521,5616385,128,AES
4,4277,25232,23094,3566211,128,AES
5,18817,25659,23948,3623943,128,AES
6,18389,29936,28653,4018241,128,AES
7,21810,32930,30791,5602271,128,AES
8,12829,25231,23521,2197288,128,AES
9,4704,26086,32074,5606122,128,AES
0,759514,58588,28653,676107422,56,DES
1,10691,30791,27369,2429504,56,DES
2,21810,32930,30363,2797714,56,DES
3,9836,29936,26087,3084670,56,DES
4,9836,35923,25660,2739127,56,DES
5,23521,32074,28225,4944540,56,DES
6,11119,27370,30792,5800277,56,DES
7,22665,31218,40627,4584027,56,DES
8,10691,28225,27798,2067281,56,DES
9,10692,35923,29080,2563360,56,DES
0,403279,60299,44477,4368489,112,DESede
1,21383,41483,44476,1577189,112,DESede
2,29936,58161,56451,5541545,112,DESede
3,30791,77406,63293,5510326,112,DESede
4,17962,60299,55168,4810684,112,DESede
5,33785,601282,55595,19486925,112,DESede
6,29508,209978,56878,6607259,112,DESede
7,34640,402422,52174,4899208,112,DESede
8,27370,53029,44904,2627081,112,DESede
9,16678,50035,47042,1813254,112,DESede
0,45331,49180,47897,2698927,168,DESede
1,33784,51747,47898,1820525,168,DESede
2,39772,50464,131717,2571485,168,DESede
3,34213,48325,48324,2334993,168,DESede
4,32074,55167,399429,7038763,168,DESede
5,33785,48752,48325,3431072,168,DESede
6,37206,59444,62010,2962789,168,DESede
7,32929,53884,70135,2429504,168,DESede
8,23949,19244,17107,1597717,168,DESede
9,35923,18389,17534,2078828,168,DESede
0,25231,56450,31219,350336157,32,Blowfish
1,8125,21810,24804,4735416,32,Blowfish
2,8981,207412,19244,6626505,32,Blowfish
3,7271,26087,20955,11971328,32,Blowfish
4,6843,22665,21383,2426939,32,Blowfish
5,20527,24804,20527,2800281,32,Blowfish
6,7698,27798,21382,27304447,32,Blowfish
7,8126,21811,20528,2640766,32,Blowfish
8,7270,28653,22238,21320281,32,Blowfish
9,7270,24376,17107,5499635,32,Blowfish
0,17107,17106,17107,1572058,64,Blowfish
1,12402,36350,17534,2915746,64,Blowfish
2,17962,17961,16678,1983462,64,Blowfish
3,6843,17534,298931,2551813,64,Blowfish
4,7270,18389,15395,1498500,64,Blowfish
5,17534,19245,24376,2235350,64,Blowfish
6,5560,18817,16251,1042194,64,Blowfish
7,21810,19672,16251,1054596,64,Blowfish
8,7697,18817,16251,1338985,64,Blowfish
9,7697,18389,17534,10090077,64,Blowfish
0,16679,21382,16679,1805129,128,Blowfish
1,20528,159087,22238,2726724,128,Blowfish
2,20527,19672,18389,1266713,128,Blowfish
3,17533,19244,56451,3274977,128,Blowfish
4,10691,19244,17106,1542550,128,Blowfish
5,14968,18817,16679,1137989,128,Blowfish
6,14540,19672,83392,1389877,128,Blowfish
7,15396,18389,17106,1111046,128,Blowfish
8,15395,17962,23521,1648607,128,Blowfish
9,6415,19672,16251,1175194,128,Blowfish
0,19244,38489,41483,241567832,40,RC2
1,5987,23093,21810,1019956,40,RC2
2,6843,26086,36351,2833210,40,RC2
3,5988,24376,22666,969064,40,RC2
4,15396,23521,38489,1008837,40,RC2
5,5987,25231,23521,970776,40,RC2
6,15824,25659,23521,1433926,40,RC2
7,6842,24376,25232,1818814,40,RC2
8,16679,25659,26514,1201709,40,RC2
9,5131,23948,21810,962649,40,RC2
0,5559,28225,24804,1416818,64,RC2
1,22238,25232,23094,1423234,64,RC2
2,7697,29935,23520,2044187,64,RC2
3,24376,29081,24377,1395437,64,RC2
4,6842,22238,25231,1557517,64,RC2
5,6842,26942,22666,1611830,64,RC2
6,13257,25232,23093,1080683,64,RC2
7,8126,23948,22666,1017389,64,RC2
8,14968,23949,22666,1981751,64,RC2
9,6842,26515,22666,1102492,64,RC2
0,21810,28652,22666,1967210,128,RC2
1,15395,49608,23521,1060155,128,RC2
2,7270,24376,27370,1466855,128,RC2
3,15395,28653,24804,1328721,128,RC2
4,16251,26087,24377,32066379,128,RC2
5,21810,28653,25659,1769206,128,RC2
6,33785,25660,26515,1008409,128,RC2
7,8981,26515,23521,886528,128,RC2
8,30364,25232,23521,892087,128,RC2
9,15823,25232,23521,1389021,128,RC2
0,6842,100071,41482,5172479,40,RC4
1,7698,44903,43621,1300925,40,RC4
2,18817,47042,43193,1628935,40,RC4
3,6843,44903,41055,1169208,40,RC4
4,7698,44904,41055,1709761,40,RC4
5,8125,44904,40627,1148253,40,RC4
6,17961,44049,46614,1399285,40,RC4
7,8125,44049,41482,1720452,40,RC4
8,8125,45759,123592,1842335,40,RC4
9,7270,47042,39345,1300497,40,RC4
0,32502,46187,124448,1459157,64,RC4
1,7698,47897,37634,1233356,64,RC4
2,20955,50036,44903,1672556,64,RC4
3,7697,44049,33784,1035351,64,RC4
4,5560,36779,35068,1022521,64,RC4
5,18390,42338,33357,1505344,64,RC4
6,5132,36351,46187,3663714,64,RC4
7,18389,47897,43621,1999284,64,RC4
8,8981,44476,33784,1442479,64,RC4
9,9836,44049,35923,1468566,64,RC4
0,15823,44048,40628,1362934,128,RC4
1,17106,45759,44904,3514892,128,RC4
2,15823,37634,32502,871987,128,RC4
3,15823,37633,34640,947255,128,RC4
4,9409,45759,40627,1531003,128,RC4
5,15395,45759,13257,1384744,128,RC4
6,22666,17106,11975,1916320,128,RC4
7,26087,16679,15396,1737987,128,RC4
8,19672,14968,11119,1232072,128,RC4
9,6415,17962,9836,986171,128,RC4
0,13257,35496,28653,2394865,8,RC5
1,8125,22666,23094,4047748,8,RC5
2,5987,18817,25231,841623,8,RC5
3,5560,16679,33357,3586309,8,RC5
4,8554,21383,21810,1996290,8,RC5
5,7698,20527,269850,1923589,8,RC5
6,6842,20955,16679,38724530,8,RC5
7,7698,22666,18389,2580894,8,RC5
8,7270,17961,19673,2902918,8,RC5
9,9408,22666,17106,1464289,8,RC5
0,8553,22238,17962,1551957,16,RC5
1,8553,24376,17106,1448466,16,RC5
2,7270,18817,14968,1157661,16,RC5
3,6842,17534,16678,1280825,16,RC5
4,7270,18817,17106,1333426,16,RC5
5,16678,19672,26515,1624659,16,RC5
6,8981,22238,23093,2021522,16,RC5
7,7270,20099,25232,1035779,16,RC5
8,6415,19672,18817,1061865,16,RC5
9,8553,158232,16678,1499784,16,RC5
0,8125,17962,19672,1495935,32,RC5
1,6415,174055,17534,1507909,32,RC5
2,17107,18817,19244,1374908,32,RC5
3,6842,21811,17961,1097361,32,RC5
4,7698,22238,31219,10280811,32,RC5
5,8125,22238,19244,1244047,32,RC5
6,8125,18816,38916,1120027,32,RC5
7,25232,23949,25232,1217532,32,RC5
8,6415,17533,16678,990020,32,RC5
9,6843,18389,16250,970347,32,RC5
0,6842,20100,17533,1334709,64,RC5
1,19672,19672,502494,1982178,64,RC5
2,7270,17962,19673,1388166,64,RC5
3,22238,20099,16679,1499357,64,RC5
4,7270,23094,16251,1527581,64,RC5
5,5987,16251,15396,943406,64,RC5
6,15396,17534,14968,991731,64,RC5
7,7271,17106,16679,1066998,64,RC5
8,16679,28653,14540,1002849,64,RC5
9,9836,18389,16678,1006698,64,RC5
0,18389,17962,17961,1622949,128,RC5
1,17107,18389,18389,1342835,128,RC5
2,7698,43621,25231,2574907,128,RC5
3,17962,18389,18817,1693084,128,RC5
4,18816,35923,15396,1278259,128,RC5
5,21383,21382,20955,6017524,128,RC5
6,19672,21383,18389,1513041,128,RC5
7,7270,17533,17962,1043049,128,RC5
8,18817,17534,18389,1178188,128,RC5
9,22238,23093,20955,2015536,128,RC5
0,21811,166785,139416,361496226,128,TwoFish
1,17107,116322,120171,1475408,128,TwoFish
2,6415,103920,142837,1672983,128,TwoFish
3,17106,157377,119316,1651173,128,TwoFish
4,15395,105631,100071,1335992,128,TwoFish
5,16250,111618,100499,1373626,128,TwoFish
6,14968,108197,130007,1411259,128,TwoFish
7,22666,160798,159087,2406410,128,TwoFish
8,47470,104776,115894,1751672,128,TwoFish
9,13685,96223,92373,1234211,128,TwoFish
0,18817,69280,62438,251403028,128,Serpent
1,10691,48325,48753,1267995,128,Serpent
2,5559,41482,72274,2065571,128,Serpent
3,13257,31646,33785,850177,128,Serpent
4,11546,29081,28653,692799,128,Serpent
5,10264,22238,53029,780897,128,Serpent
6,11974,26942,25659,692373,128,Serpent
7,3421,20955,24804,909193,128,Serpent
8,10692,32074,51746,895080,128,Serpent
9,13685,29508,32929,889949,128,Serpent
